OBJECTID,KOM_NAMN,ID,Shape_Area,Shape_Length,,KOMMUNID_txt
241,Ljusdal,2161,5638797928.97339,10994051.53.00,,2161
242,Gävle,2180,2097478242.84473,911431.58.00,,2180
243,Sandviken,2181,1303784084.11938,4820254.39.00,,2181
244,Söderhamn,2182,1354481307.08838,14576144.39.00,,2182
245,Bollnäs,2183,1985685723.3418,2616967.06.00,,2183
246,Hudiksvall,2184,3133266285.5127,5668132.08.00,,2184
247,Ånge,2260,3313220432.20435,3637441.24.00,,2260
248,Timrå,2262,901501054.549072,1470228.33.00,,2262
249,Härnösand,2280,1275036895.75513,7123614.09.00,,2280
250,Sundsvall,2281,3751645567.79492,4076965.28.00,,2281
251,Kramfors,2282,2141004361.71289,9578374.01.00,,2282
252,Sollefteå,2283,5793682085.3457,568565.23.00,,2283
253,Örnsköldsvik,2284,7146278623.97803,741486.41.00,,2284
254,Ragunda,2303,2647581218.11865,1488785.53.00,,2303
255,Bräcke,2305,3804131268.32178,14372436.07.00,,2305
256,Krokom,2309,6850268582.51978,7259394.17.00,,2309
257,Strömsund,2313,11847563626.0352,3019336.18.00,,2313
258,Åre,2321,8284025170.1333,1212595.36.00,,2321
259,Berg,2326,6180955500.08154,12136872.42.00,,2326
260,Härjedalen,2361,11922084961.5667,7081030.44.00,,2361
261,Östersund,2380,2514645331.41089,13646946.42.00,,2380
262,Nordmaling,2401,1467039777.70068,7694705.54.00,,2401
263,Bjurholm,2403,1372752062.57715,13565494.47.00,,2403
264,Vindeln,2404,2871649334.45313,6646911.33.00,,2404
265,Robertsfors,2409,1454234452.05322,1863387.56.00,,2409
266,Norsjö,2417,1936863203.4043,10916025.03.00,,2417
267,Malå,2418,1738806069.35205,13608967.18.00,,2418
268,Storuman,2421,8282549105.48682,14775349.02.00,,2421
269,Sorsele,2422,8006696195.22412,10760592.08.00,,2422
270,Dorotea,2425,2959611957.44897,1078834.38.00,,2425
271,Vännäs,2460,557538178.35.00,3587298.07.00,,2460
272,Vilhelmina,2462,8788295479.27759,9727964.13.00,,2462
273,Åsele,2463,4571351217.84497,11939118.25.00,,2463
274,Umeå,2480,3050522877.72852,9247875.13.00,,2480
275,Lycksele,2481,5926826346.59033,9512417.32.00,,2481
276,Skellefteå,2482,7640043284.125,13336200.03.00,,2482
277,Arvidsjaur,2505,6167518552.75732,1893216.12.00,,2505
278,Arjeplog,2506,14585401660.8162,17091225.42.00,,2506
279,Jokkmokk,2510,19466420026.9563,16669968.19.00,,2510
280,Överkalix,2513,2943803184.19336,15480464.18.00,,2513
281,Kalix,2514,2503831355.05713,2581772.01.00,,2514
282,Övertorneå,2518,2509962660.30713,1669170.42.00,,2518
283,Pajala,2521,8124094161.73535,10164760.18.00,,2521
284,Gällivare,2523,16946118322.5925,8911228.15.00,,2523
285,Älvsbyn,2560,1809365661.84961,8609541.55.00,,2560
286,Luleå,2580,3478916647.61768,12247532.38.00,,2580
287,Piteå,2581,3850392654.67041,6584523.51.00,,2581
288,Boden,2582,4320826755.18457,6014282.43.00,,2582
289,Haparanda,2583,1576171324.56934,273428.19.00,,2583
290,Kiruna,2584,20703223743.8926,8210275.18.00,,2584
